,ENA.main,ENA.S,CA.PNW,WNA.S,MX.C,FL.Coastal,N.CAm,C.CAm,TX,Baja.S,MX.Baja.N
acerifolia,1,0,0,0,0,0,0,0,0,0,0
acutidens,0,0,1,1,0,0,0,0,0,0,0
acutifolia,0,0,0,0,1,0,0,1,0,0,0
affinis,0,0,0,0,1,0,1,1,0,0,0
agrifolia,0,0,1,1,0,0,0,0,0,0,1
ajoensis,0,0,0,1,0,0,0,0,0,0,0
alba,1,1,0,0,0,1,0,0,0,0,0
arizonica,0,0,0,1,1,1,0,0,0,1,0
arkansana,1,1,0,0,0,1,0,0,0,0,0
austrina,1,1,0,0,0,1,0,0,0,0,0
benthamii,0,0,0,0,1,0,0,1,0,0,0
berberidifolia,0,0,1,1,0,0,0,0,0,0,0
bicolor,1,1,0,0,0,0,0,0,0,0,0
boyntonii,1,0,0,0,0,0,0,0,0,0,0
brandegeei,0,0,0,0,0,0,0,0,0,1,0
buckleyi,1,1,0,0,0,1,0,0,1,0,0
canbyi,0,0,0,0,1,0,0,0,0,0,0
candicans,0,0,0,0,1,0,1,1,0,0,0
castanea,0,0,0,1,1,0,1,1,0,0,0
chapmanii,0,1,0,0,0,1,0,0,0,0,0
chrysolepis,0,0,1,1,0,0,0,0,0,0,1
coccinea,1,1,0,0,0,1,0,0,0,0,0
conspersa,0,0,0,1,1,0,1,1,0,0,0
conzattii,0,0,0,1,1,0,1,0,0,0,0
cornelius-mulleri,0,0,1,1,0,0,0,0,0,0,0
corrugata,0,0,0,0,0,0,0,1,0,0,0
cortesii,0,0,0,0,1,0,1,1,0,0,0
costaricensis,0,0,0,0,0,0,0,1,0,0,0
crassifolia,0,0,0,1,1,0,1,1,0,0,0
crassipes,0,0,0,0,1,0,0,0,0,0,0
crispifolia,0,0,0,0,1,0,0,0,0,0,0
delgadoana,0,0,0,0,1,0,0,0,0,0,0
deserticola,0,0,0,1,1,0,1,0,0,0,0
diversifolia,0,0,0,0,1,0,0,0,0,0,0
douglasii,0,0,1,0,0,0,0,0,0,0,0
dumosa,0,0,1,1,0,0,0,0,0,0,0
durata,0,0,1,0,0,0,0,0,0,0,0
eduardii,0,0,0,1,1,0,0,0,0,0,0
elliottii,0,1,0,0,0,1,0,0,0,0,0
ellipsoidalis,1,0,0,0,0,0,0,0,0,0,0
elliptica,0,0,0,0,1,0,1,1,0,0,0
emoryi,0,0,0,1,1,0,0,0,0,0,0
engelmannii,0,0,1,1,0,0,0,0,0,0,1
eugeniifolia,0,0,0,0,1,0,0,1,0,0,0
falcata,1,1,0,0,0,1,0,0,0,0,0
fusiformis,1,0,0,1,1,1,1,0,1,0,0
gambelii,0,0,1,1,0,0,0,0,1,0,0
garryana,0,0,1,0,0,0,0,0,0,0,0
geminata,0,1,0,0,0,1,0,0,0,0,0
gentryi,0,0,0,1,1,0,0,0,0,0,0
georgiana,1,1,0,0,0,0,0,0,0,0,0
germana,0,0,0,0,1,0,0,0,0,0,0
glabrescens,0,0,0,0,1,0,0,0,0,0,0
glaucescens,0,0,0,0,1,0,1,0,0,0,0
glaucoides,0,0,0,1,1,0,0,0,0,0,0
graciliformis,0,0,0,1,1,1,0,0,0,0,0
gravesii,0,0,0,1,1,1,0,0,0,0,0
greggii,0,0,0,1,1,0,0,0,0,0,0
grisea,0,0,0,1,1,0,0,0,1,0,0
havardii,1,0,0,1,0,1,0,0,1,0,0
hemisphaerica,1,1,0,0,0,1,0,0,0,0,0
hypoleucoides,0,0,0,1,1,0,0,0,1,0,0
ilicifolia,1,1,0,0,0,0,0,0,0,0,0
iltisii,0,0,0,0,1,0,0,0,0,0,0
imbricaria,1,1,0,0,0,0,0,0,0,0,0
incana,1,1,0,0,0,1,0,0,0,0,0
inopina,0,0,0,0,0,1,0,0,0,0,0
insignis,0,0,0,0,1,0,1,1,0,0,0
john-tuckeri,0,0,1,1,0,0,0,0,0,0,0
kelloggii,0,0,1,1,0,0,0,0,0,0,0
laceyi,0,0,0,1,1,1,0,0,0,0,0
laeta,0,0,0,1,1,1,1,0,0,1,0
laevis,1,1,0,0,0,1,0,0,0,0,0
lancifolia,0,0,0,0,1,0,1,1,0,0,0
laurifolia,1,1,0,0,0,1,0,0,0,0,0
laurina,0,0,0,0,1,0,1,1,0,0,0
liebmanii,0,0,0,0,1,0,0,0,0,0,0
lobata,0,0,1,0,0,0,0,0,0,0,0
lyrata,1,1,0,0,0,1,0,0,0,0,0
macrocarpa,1,1,0,0,0,1,0,0,1,0,0
magnoliifolia,0,0,0,0,1,0,0,1,0,0,0
margarettae,1,1,0,0,0,1,0,0,0,0,0
marilandica,1,1,0,0,0,1,0,0,1,0,0
martinezii,0,0,0,0,1,0,0,1,0,0,0
mexicana,0,0,0,1,1,0,0,0,0,0,0
michauxii,1,1,0,0,0,1,0,0,0,0,0
minima,0,1,0,0,0,1,0,0,0,0,0
mohriana,0,0,0,1,1,1,0,0,1,0,0
montana,1,1,0,0,0,0,0,0,0,0,0
muehlenbergii,1,1,0,1,1,1,0,0,1,0,0
myrtifolia,0,1,0,0,0,1,0,0,0,0,0
new species,0,0,0,0,1,0,0,0,0,0,0
nigra,1,1,0,0,0,1,0,0,0,0,0
nuttallii,1,1,0,0,0,0,0,0,0,0,0
oblongifolia,0,0,0,1,1,0,0,0,0,1,0
obtusata,0,0,0,0,1,0,0,0,0,0,0
ocoteifolia,0,0,0,0,1,0,1,1,0,0,0
oglethorpensis,0,1,0,0,0,0,0,0,0,0,0
oleoides,0,0,0,0,1,0,1,1,0,0,0
pacifica,0,0,1,0,0,0,0,0,0,0,0
pagoda,1,1,0,0,0,1,0,0,0,0,0
palmeri,0,0,1,1,0,0,0,0,0,0,1
palustris,1,1,0,0,0,0,0,0,0,0,0
parvula,0,0,1,0,0,0,0,0,0,0,0
peduncularis,0,0,0,0,1,0,0,1,0,0,0
peninsularis,0,0,1,1,0,0,0,0,0,0,1
phellos,1,1,0,0,0,1,0,0,0,0,0
pinnativenulosa,0,0,0,0,1,0,0,0,0,0,0
planipocula,0,0,0,0,1,0,0,0,0,0,0
polymorpha,0,0,0,0,1,1,0,1,0,0,0
potosina,0,0,0,0,1,0,0,0,0,0,0
prinoides,1,1,0,0,0,1,0,0,0,0,0
pungens,0,0,0,1,1,1,0,0,0,0,0
purulhana,0,0,0,0,1,0,0,1,0,0,0
resinosa,0,0,0,1,1,0,0,0,0,0,0
rubra,1,1,0,0,0,1,0,0,0,0,0
rugosa,0,0,0,1,1,0,1,1,0,1,0
sadleriana,0,0,1,0,0,0,0,0,0,0,0
sapotifolia,0,0,0,0,1,0,1,1,0,0,0
sartorii,0,0,0,0,1,0,1,0,0,0,0
scytophylla,0,0,0,1,1,0,0,0,0,0,0
segoviensis,0,0,0,0,1,0,1,1,0,0,0
shumardii,1,1,0,0,0,1,0,0,1,0,0
similis,1,1,0,0,0,1,0,0,0,0,0
sinuata,1,1,0,0,1,1,0,0,1,0,0
stellata,1,1,0,1,0,1,0,0,1,0,0
texana,1,1,0,1,0,1,0,0,0,0,0
tomentella,0,0,1,0,0,0,0,0,0,0,0
toumeyi,0,0,0,1,0,0,0,0,0,0,1
turbinella,0,0,1,1,0,0,0,0,0,0,1
uxoris,0,0,0,0,1,0,0,0,0,0,0
vacciniifolia,0,0,1,0,0,0,0,0,0,0,0
vaseyana,0,0,0,1,1,1,0,0,0,0,0
velutina,1,1,0,0,0,1,0,0,0,0,0
virginiana,1,1,0,0,1,1,0,0,1,0,0
wislizeni,0,0,1,1,0,0,0,0,0,0,0
