commonSpecies,commonSpeciesCount,indicatorSpecies,indicatorSpeciesScore,bioregion,clusterColor
alba,14952,ellipsoidalis,1.2351320722592594,1,#babdd1
rubra,13550,macrocarpa,1.2051065252643636,1,#babdd1
velutina,9325,rubra,1.1986042542414501,1,#babdd1
stellata,5049,velutina,1.1491430270451355,1,#babdd1
coccinea,4118,coccinea,1.141753776583347,1,#babdd1
macrocarpa,4054,muehlenbergii,1.1416061963099542,1,#babdd1
muehlenbergii,3047,alba,1,1,#babdd1
falcata,2707,marilandica,0.9056121703271608,1,#babdd1
marilandica,1502,stellata,0.8100564329217983,1,#babdd1
ellipsoidalis,1388,falcata,0.5121554237092549,1,#babdd1
nigra,7016,lyrata,1.9979905017879445,2,#d6b874
falcata,3611,nigra,1.9861364857603439,2,#d6b874
alba,3288,pagoda,1.9785067901854296,2,#d6b874
stellata,2370,phellos,1.7994764194543122,2,#d6b874
pagoda,1527,michauxii,1.5888831717436218,2,#d6b874
phellos,1479,falcata,1.4559642685909497,2,#d6b874
laurifolia,1396,laurifolia,1.2723994192217096,2,#d6b874
velutina,675,stellata,0.8103412715750736,2,#d6b874
lyrata,669,alba,0.46864310148232613,2,#d6b874
michauxii,529,velutina,0.177271421198207,2,#d6b874
chrysolepis,2915,durata,6.339965694682676,3,#f0a6a3
kelloggii,2007,lobata,6.339965694682675,3,#f0a6a3
agrifolia,1774,vacciniifolia,6.339965694682675,3,#f0a6a3
garryana,1636,douglasii,6.333857827924793,3,#f0a6a3
wislizeni,1306,kelloggii,6.333654131024455,3,#f0a6a3
douglasii,1037,wislizeni,6.330271557534844,3,#f0a6a3
berberidifolia,815,berberidifolia,6.316713986755967,3,#f0a6a3
lobata,762,garryana,6.293800895934986,3,#f0a6a3
vacciniifolia,598,agrifolia,6.272782566852798,3,#f0a6a3
durata,564,chrysolepis,5.768102372034956,3,#f0a6a3
gambelii,3097,hypoleucoides,5.944213473107391,4,#93ba9b
turbinella,1240,gambelii,5.881922342457034,4,#93ba9b
arizonica,1165,toumeyi,5.873413183700762,4,#93ba9b
grisea,800,emoryi,5.718746636529976,4,#93ba9b
emoryi,690,arizonica,5.7171108394371455,4,#93ba9b
hypoleucoides,513,oblongifolia,5.638787145155394,4,#93ba9b
oblongifolia,429,turbinella,5.57615739664926,4,#93ba9b
rugosa,271,grisea,4.967648528316316,4,#93ba9b
chrysolepis,266,rugosa,2.8981399504434284,4,#93ba9b
toumeyi,250,chrysolepis,0.4954198356349042,4,#93ba9b
castanea,697,mexicana,26.443595385692245,5,#b3946d
crassifolia,585,crassipes,26.311883991050863,5,#b3946d
laeta,548,obtusata,26.073146819703492,5,#b3946d
obtusata,472,laurina,25.987109737052602,5,#b3946d
laurina,443,laeta,25.76286414929231,5,#b3946d
candicans,430,castanea,25.526243093922652,5,#b3946d
mexicana,370,candicans,25.506661659589355,5,#b3946d
rugosa,279,greggii,25.486462919903033,5,#b3946d
crassipes,259,crassifolia,21.336056078418217,5,#b3946d
greggii,223,rugosa,13.257532281205165,5,#b3946d
virginiana,1662,minima,10.850709405690774,6,#a7b27c
laurifolia,1449,geminata,10.378419574809467,6,#a7b27c
nigra,1359,virginiana,9.217456359102245,6,#a7b27c
laevis,355,laevis,7.074383542736867,6,#a7b27c
stellata,274,laurifolia,5.57525826639851,6,#a7b27c
minima,242,incana,5.5261714619115345,6,#a7b27c
margarettae,227,margarettae,4.872934177085801,6,#a7b27c
falcata,212,nigra,1.6240430109195592,6,#a7b27c
geminata,196,stellata,0.39548383448734337,6,#a7b27c
incana,164,falcata,0.3608424728072216,6,#a7b27c
oleoides,874,oleoides,18.26185770750988,7,#c79fab
cortesii,15,cortesii,4.119216024250349,7,#c79fab
lancifolia,12,glaucescens,2.349478769387236,7,#c79fab
sapotifolia,7,lancifolia,1.8521438474001568,7,#c79fab
laurina,5,sapotifolia,0.7048436308161709,7,#c79fab
glaucescens,4,sartorii,0.595642504915074,7,#c79fab
conspersa,4,conspersa,0.44052726926010677,7,#c79fab
elliptica,4,elliptica,0.3466444085981168,7,#c79fab
sartorii,4,laurina,0.23390828456288854,7,#c79fab
crassifolia,3,crassifolia,0.08725712073377631,7,#c79fab
sapotifolia,139,costaricensis,126.03199940047962,8,#9aadab
benthamii,125,benthamii,115.41391886490807,8,#9aadab
costaricensis,91,cortesii,88.06231897598803,8,#9aadab
lancifolia,74,sapotifolia,88.0047619047619,8,#9aadab
oleoides,54,lancifolia,71.81610040434806,8,#9aadab
cortesii,51,elliptica,15.257341667649486,8,#9aadab
elliptica,28,peduncularis,12.179252018232743,8,#9aadab
acutifolia,19,acutifolia,10.98339067876134,8,#9aadab
peduncularis,12,oleoides,7.094534648960674,8,#9aadab
castanea,11,castanea,2.020062403116181,8,#9aadab
mohriana,47,havardii,211.35186170212765,9,#c9a394
havardii,43,mohriana,166.4954954954955,9,#c9a394
muehlenbergii,9,fusiformis,14.83821758329988,9,#c9a394
macrocarpa,7,sinuata,8.548103607770583,9,#c9a394
fusiformis,6,grisea,2.0458520601323973,9,#c9a394
grisea,5,muehlenbergii,1.0727235203446563,9,#c9a394
sinuata,5,virginiana,0.9805804637342813,9,#c9a394
virginiana,5,macrocarpa,0.6619743534637151,9,#c9a394
stellata,3,gambelii,0.3754418516461936,9,#c9a394
gambelii,3,stellata,0.15312023596473784,9,#c9a394
brandegeei,86,brandegeei,214.8953488372093,10,#cc8c79
arizonica,3,rugosa,1.1553513378344586,10,#cc8c79
laeta,3,laeta,1.1430603661553687,10,#cc8c79
rugosa,3,oblongifolia,0.946675545538367,10,#cc8c79
oblongifolia,2,arizonica,0.5301694461444308,10,#cc8c79
peninsularis,57,peninsularis,267.84057971014494,11,#e3b089
chrysolepis,9,palmeri,5.7897869674185465,11,#e3b089
turbinella,9,toumeyi,2.5529769305152645,11,#e3b089
agrifolia,8,turbinella,2.1989846507753934,11,#e3b089
palmeri,5,engelmannii,2.065146943792602,11,#e3b089
engelmannii,3,agrifolia,1.4466394653672663,11,#e3b089
toumeyi,2,chrysolepis,0.9107530061107825,11,#e3b089