	reads	includedFinalTrees	
AGR11.fq.barcodeStripped.fq.gz	1047989	TRUE	
AGR17.fq.barcodeStripped.fq.gz	1422123	TRUE	
AGR18.fq.barcodeStripped.fq.gz	962326	FALSE	
AGR1.fq.barcodeStripped.fq.gz	1042008	TRUE	
AGR22.fq.barcodeStripped.fq.gz	1498892	TRUE	
AGR25.fq.barcodeStripped.fq.gz	1380630	TRUE	
AGR29.fq.barcodeStripped.fq.gz	1096656	TRUE	
AGR2.fq.barcodeStripped.fq.gz	1042912	TRUE	
AGR33.fq.barcodeStripped.fq.gz	2741063	FALSE	
AGR34.fq.barcodeStripped.fq.gz	1466193	TRUE	
AGR-3.fq.barcodeStripped.fq.gz	1248490	TRUE	
AGR-4.fq.barcodeStripped.fq.gz	1549679	TRUE	
AGR-5.fq.barcodeStripped.fq.gz	1566087	TRUE	
AGR6.fq.barcodeStripped.fq.gz	1408088	TRUE	
BJSL25.fq.gz	969575	TRUE	
BJVL19.fq.gz	817443	TRUE	
CR-JCB-1.fq.barcodeStripped.fq.gz	1423319	TRUE	
CR-JCB-2.fq.barcodeStripped.fq.gz	1942811	TRUE	
CR-JCB-3.fq.barcodeStripped.fq.gz	1853897	TRUE	
CRL0001.fq.gz	1012884	TRUE	
CRL0030.fq.gz	1204952	TRUE	
CUVN10.fq.gz	1130911	TRUE	
DM46.fq.gz	2263424	TRUE	
DM71.fq.gz	1312699	TRUE	
DM74.fq.gz	2883964	TRUE	
FLAB109.fq.gz	347949	TRUE	
FLBA140.fq.gz	975393	TRUE	
FLCK216.fq.gz	791393	TRUE	
FLSF54.fq.gz	1115926	TRUE	
JCB-MX-JA-MA-153.fq.barcodeStripped.fq.gz	1113560	TRUE	
JCB-MX-JA-TM-123.fq.barcodeStripped.fq.gz	1083704	TRUE	
JCB-MX-JA-TS-215.fq.barcodeStripped.fq.gz	823188	TRUE	
JCB-MX-OA-OA-34.fq.barcodeStripped.fq.gz	1454920	TRUE	
MXED8.fq.gz	1154841	TRUE	
OAK-MOR-123.fq.barcodeStripped.fq.gz	1239117	TRUE	
OAK-MOR-125.fq.gz	1661910	TRUE	
OAK-MOR-127.fq.gz	1291617	TRUE	
OAK-MOR-133.fq.barcodeStripped.fq.gz	1548152	TRUE	
OAK-MOR-135.fq.gz	2442493	TRUE	
OAK-MOR-143_R1.fq.gz	2180822	TRUE	
OAK-MOR-164_R1.fq.gz	1866644	TRUE	
OAK-MOR-167.fq.barcodeStripped.fq.gz	1682006	TRUE	
OAK-MOR-169.fq.barcodeStripped.fq.gz	1335229	TRUE	
OAK-MOR-173.fq.gz	2541753	TRUE	
OAK-MOR-174.fq.gz	2511830	TRUE	
OAK-MOR-189.fq.gz	1301034	TRUE	
OAK-MOR-191.fq.gz	2433737	TRUE	
OAK-MOR-199.fq.gz	2139123	TRUE	
OAK-MOR-204.fq.barcodeStripped.fq.gz	843842	TRUE	
OAK-MOR-221.fq.barcodeStripped.fq.gz	1564081	TRUE	
OAK-MOR-222.fq.gz	1896840	TRUE	
OAK-MOR-226.fq.gz	1147583	TRUE	
OAK-MOR-245.fq.barcodeStripped.fq.gz	1639893	TRUE	
OAK-MOR-249.fq.barcodeStripped.fq.gz	1653465	TRUE	
OAK-MOR-256.fq.barcodeStripped.fq.gz	1269094	TRUE	
OAK-MOR-260_R1.fq.gz	1713511	TRUE	
OAK-MOR-289.fq.barcodeStripped.fq.gz	1547705	TRUE	
OAK-MOR-305.fq.gz	2587934	TRUE	
OAK-MOR-336.fq.gz	1051361	TRUE	
OAK-MOR-340.fq.barcodeStripped.fq.gz	1488252	TRUE	
OAK-MOR-342.fq.gz	1062944	TRUE	
OAK-MOR-346.fq.gz	1629290	TRUE	
OAK-MOR-351.fq.gz	1900355	TRUE	
OAK-MOR-352.fq.gz	1936319	TRUE	
OAK-MOR-353.fq.gz	3485896	TRUE	
OAK-MOR-354.fq.gz	2966055	TRUE	
OAK-MOR-356.fq.gz	1215887	TRUE	
OAK-MOR-357.fq.gz	3095386	TRUE	
OAK-MOR-358.fq.gz	2793010	TRUE	
OAK-MOR-359.fq.gz	1281193	TRUE	
OAK-MOR-360.fq.gz	1723555	TRUE	
OAK-MOR-362.fq.gz	2128309	TRUE	
OAK-MOR-365.fq.gz	2071814	TRUE	
OAK-MOR-376.fq.gz	1085858	TRUE	
OAK-MOR-377.fq.gz	2095002	TRUE	
OAK-MOR-383.fq.gz	1759444	TRUE	
OAK-MOR-385.fq.gz	1109597	TRUE	
OAK-MOR-390.fq.gz	2077423	TRUE	
OAK-MOR-391.fq.gz	1637746	TRUE	
OAK-MOR-392.fq.gz	3472996	TRUE	
OAK-MOR-393.fq.gz	3032010	TRUE	
OAK-MOR-394.fq.gz	1745063	TRUE	
OAK-MOR-395.fq.gz	1916029	TRUE	
OAK-MOR-397.fq.gz	2069875	TRUE	
OAK-MOR-398.fq.gz	2109012	TRUE	
OAK-MOR-400.fq.gz	1202152	TRUE	
OAK-MOR-402.fq.gz	2152950	TRUE	
OAK-MOR-403.fq.gz	1097803	TRUE	
OAK-MOR-405.fq.barcodeStripped.fq.gz	1087195	TRUE	
OAK-MOR-406.fq.gz	1024215	TRUE	
OAK-MOR-410.fq.gz	1144176	TRUE	
OAK-MOR-411.fq.gz	1864973	TRUE	
OAK-MOR-413.fq.gz	1098280	TRUE	
OAK-MOR-414.fq.gz	1181235	TRUE	
OAK-MOR-415.fq.gz	1277178	TRUE	
OAK-MOR-416.fq.gz	1084558	TRUE	
OAK-MOR-417.fq.gz	1970838	TRUE	
OAK-MOR-418.fq.gz	2335796	TRUE	
OAK-MOR-419.fq.gz	1017152	TRUE	
OAK-MOR-420.fq.gz	2180587	TRUE	
OAK-MOR-421.fq.gz	1050702	TRUE	
OAK-MOR-422.fq.gz	1224998	TRUE	
OAK-MOR-423.fq.barcodeStripped.fq.gz	1254384	TRUE	
OAK-MOR-428.fq.gz	2971929	TRUE	
OAK-MOR-430.fq.gz	2532292	TRUE	
OAK-MOR-435.fq.gz	1073756	TRUE	
OAK-MOR-436.fq.gz	1065288	TRUE	
OAK-MOR-438.fq.gz	935718	TRUE	
OAK-MOR-441A.fq.gz	2945461	TRUE	
OAK-MOR-443.fq.gz	1569130	TRUE	
OAK-MOR-448.fq.barcodeStripped.fq.gz	1382312	TRUE	
OAK-MOR-461.fq.barcodeStripped.fq.gz	1999855	TRUE	
OAK-MOR-462.fq.gz	1064488	TRUE	
OAK-MOR-463.fq.gz	1107669	TRUE	
OAK-MOR-470.fq.gz	930189	TRUE	
OAK-MOR-474.fq.gz	1128532	TRUE	
OAK-MOR-476.fq.gz	1482912	TRUE	
OAK-MOR-486.fq.gz	1151732	TRUE	
OAK-MOR-487.fq.barcodeStripped.fq.gz	1664675	TRUE	
OAK-MOR-488.fq.gz	2572195	TRUE	
OAK-MOR-489.fq.gz	1238994	TRUE	
OAK-MOR-490.fq.gz	1998252	TRUE	
OAK-MOR-495.fq.gz	2153549	TRUE	
OAK-MOR-496.fq.gz	1988469	TRUE	
OAK-MOR-498.fq.gz	2596971	TRUE	
OAK-MOR-500.fq.gz	2073407	TRUE	
OAK-MOR-502.fq.gz	1056093	TRUE	
OAK-MOR-507.fq.gz	1443515	TRUE	
OAK-MOR-508.fq.gz	2066854	TRUE	
OAK-MOR-509.fq.gz	1765563	TRUE	
OAK-MOR-510.fq.gz	2950236	TRUE	
OAK-MOR-511.fq.gz	2449044	TRUE	
OAK-MOR-516.fq.gz	2520861	TRUE	
OAK-MOR-517.fq.gz	2067630	TRUE	
OAK-MOR-520.fq.gz	1847644	TRUE	
OAK-MOR-521.fq.gz	2013206	TRUE	
OAK-MOR-527.fq.gz	2979296	TRUE	
OAK-MOR-528.fq.gz	2127595	TRUE	
OAK-MOR-529.fq.gz	2113158	TRUE	
OAK-MOR-531.fq.gz	1275715	TRUE	
OAK-MOR-532.fq.gz	2218804	TRUE	
OAK-MOR-533.fq.gz	2084602	TRUE	
OAK-MOR-534.fq.gz	1063439	TRUE	
OAK-MOR-535.fq.gz	1451154	TRUE	
OAK-MOR-537.fq.gz	1824958	TRUE	
OAK-MOR-543.fq.gz	1982362	TRUE	
OAK-MOR-544.fq.gz	1694886	TRUE	
OAK-MOR-545.fq.gz	1757394	TRUE	
OAK-MOR-548.fq.gz	1967274	TRUE	
OAK-MOR-549.fq.barcodeStripped.fq.gz	963105	TRUE	
OAK-MOR-575.fq.barcodeStripped.fq.gz	2357297	TRUE	
OAK-MOR-578.fq.barcodeStripped.fq.gz	1948741	TRUE	
OAK-MOR-590.fq.barcodeStripped.fq.gz	2281980	FALSE	
OAK-MOR-601.nameFixed.fq.gz	1170154	TRUE	
OAK-MOR-608.nameFixed.fq.gz	679754	TRUE	
OAK-MOR-611.fq.barcodeStripped.fq.gz	2168442	TRUE	
OAK-MOR-614.fq.barcodeStripped.fq.gz	2290345	TRUE	
OAK-MOR-615.fq.barcodeStripped.fq.gz	1463657	TRUE	
OAK-MOR-623.fq.barcodeStripped.fq.gz	1522698	TRUE	
OAK-MOR-624.fq.barcodeStripped.fq.gz	1054575	TRUE	
OAK-MOR-625.fq.barcodeStripped.fq.gz	1501914	TRUE	
OAK-MOR-626.fq.barcodeStripped.fq.gz	1370829	TRUE	
OAK-MOR-632.fq.barcodeStripped.fq.gz	1626171	TRUE	
OAK-MOR-639.fq.barcodeStripped.fq.gz	2270359	TRUE	
OAK-MOR-649.fq.barcodeStripped.fq.gz	1691183	FALSE	
OAK-MOR-650.fq.barcodeStripped.fq.gz	1433087	TRUE	
OAK-MOR-658.fq.barcodeStripped.fq.gz	1491161	FALSE	
OAK-MOR-671.fq.barcodeStripped.fq.gz	1167517	TRUE	
OAK-MOR-672.fq.barcodeStripped.fq.gz	1840901	TRUE	
OAK-MOR-673.fq.barcodeStripped.fq.gz	846318	TRUE	
OAK-MOR-683.fq.barcodeStripped.fq.gz	1221142	TRUE	
OAK-MOR-685.fq.barcodeStripped.fq.gz	1185116	TRUE	
OAK-MOR-686.fq.barcodeStripped.fq.gz	1313566	TRUE	
OAK-MOR-687.fq.barcodeStripped.fq.gz	1423118	TRUE	
OAK-MOR-689.fq.barcodeStripped.fq.gz	1436538	TRUE	
OAK-MOR-68.fq.barcodeStripped.fq.gz	1308354	TRUE	
OAK-MOR-690.fq.barcodeStripped.fq.gz	1382294	TRUE	
OAK-MOR-692.fq.barcodeStripped.fq.gz	1130080	FALSE	
OAK-MOR-693.fq.barcodeStripped.fq.gz	1296719	TRUE	
OAK-MOR-694.fq.barcodeStripped.fq.gz	1229642	TRUE	
OAK-MOR-696.fq.barcodeStripped.fq.gz	2221566	TRUE	
OAK-MOR-697.fq.barcodeStripped.fq.gz	1702241	TRUE	
OAK-MOR-698.fq.barcodeStripped.fq.gz	1559603	TRUE	
OAK-MOR-699.fq.barcodeStripped.fq.gz	2721984	TRUE	
OAK-MOR-700.fq.barcodeStripped.fq.gz	1863345	TRUE	
OAK-MOR-707.fq.barcodeStripped.fq.gz	1685350	TRUE	
OAK-MOR-708.fq.barcodeStripped.fq.gz	1385838	TRUE	
OAK-MOR-709.fq.barcodeStripped.fq.gz	815991	TRUE	
OAK-MOR-711.fq.barcodeStripped.fq.gz	1210418	TRUE	
OAK-MOR-713.fq.barcodeStripped.fq.gz	1387126	TRUE	
OAK-MOR-715.nameFixed.fq.gz	702618	TRUE	
OAK-MOR-718.fq.barcodeStripped.fq.gz	1584233	FALSE	
OAK-MOR-723.fq.barcodeStripped.fq.gz	1124578	TRUE	
OAK-MOR-725.nameFixed.fq.gz	745164	TRUE	
OAK-MOR-76.fq.barcodeStripped.fq.gz	2080911	TRUE	
OAK-MOR-90.fq.barcodeStripped.fq.gz	1410972	TRUE	
OAK-MOR-JW-2604.fq.gz	2211263	TRUE	
OAKS-MOR-472.nameFixed.fq.gz	235246	TRUE	
OAKS-MOR-492.fq.gz	1500685	TRUE	
OAKS-MOR-585_R1.fq.gz	2169193	TRUE	
OAK-UMN-003.fq.gz	2008609	TRUE	
OAK-UMN-004.fq.gz	1225850	TRUE	
OAK-UMN-005.fq.gz	1346150	TRUE	
OAK-UMN-007.fq.gz	496567	TRUE	
OAK-UMN-008.fq.gz	1485386	TRUE	
OAK-UMN-009.fq.gz	1562629	TRUE	
OAK-UMN-010.fq.gz	509286	TRUE	
OAK-UMN-011.fq.gz	312391	TRUE	
OAK-UMN-012.fq.barcodeStripped.fq.gz	301988	TRUE	
OAK-UMN-013.fq.gz	855294	TRUE	
OAK-UMN-014.fq.gz	1769661	TRUE	
OAK-UMN-015.fq.gz	2239659	TRUE	
OAK-UMN-037.fq.gz	1257073	TRUE	
OAK-UMN-038.fq.gz	2074317	TRUE	
OAK-UMN-040.fq.gz	2039965	TRUE	
OAK-UMN-041.fq.gz	1752139	TRUE	
OAK-UMN-045.fq.gz	1344573	TRUE	
OAK-UMN-047.fq.gz	483025	TRUE	
OAK-UMN-058.fq.gz	1747865	TRUE	
OAK-UMN-060.fq.gz	372922	TRUE	
OAK-UMN-066.fq.gz	2326777	TRUE	
OAK-UMN-067.fq.barcodeStripped.fq.gz	1216884	TRUE	
OAK-UMN-070.fq.gz	2058491	TRUE	
OAK-UMN-079.fq.gz	2125752	TRUE	
OAK-UMN-088.fq.gz	2902216	TRUE	
OAK-UMN-091.fq.gz	2108332	TRUE	
OAK-UMN-103.fq.gz	1377998	TRUE	
OAK-UMN-128.fq.gz	844999	TRUE	
OAK-UMN-133.fq.gz	875898	TRUE	
OAK-UMN-136.fq.gz	1586254	TRUE	
OAK-UMN-140.fq.gz	2111190	TRUE	
OAK-UMN-146.fq.gz	2158920	TRUE	
OAK-UMN-150.fq.gz	1152950	TRUE	
OAK-UMN-156.fq.gz	1990317	TRUE	
OAK-UMN-166.fq.gz	1296619	TRUE	
OAK-UMN-173.fq.gz	1169741	TRUE	
OAK-UMN-180.fq.gz	1416891	TRUE	
OAK-UMN-236.fq.gz	1708403	TRUE	
OAK-UMN-243.fq.gz	729363	TRUE	
OAK-UMN-255.fq.gz	1865566	TRUE	
OAK-UMN-257.fq.gz	1712508	TRUE	
OAK-UMN-258.fq.gz	1604542	TRUE	
OAK-UMN-260.fq.gz	1730326	TRUE	
OAK-UMN-261.fq.gz	1195303	TRUE	
OAK-UMN-263.fq.gz	1857753	TRUE	
OAK-UMN-265.fq.gz	1792927	TRUE	
OAK-UMN-268.fq.gz	1948903	TRUE	
OAK-UMN-271.fq.gz	1970620	TRUE	
OAK-UMN-276.fq.gz	922732	TRUE	
OAK-UMN-280.fq.gz	2099886	TRUE	
OAK-UMN-288.fq.gz	1699334	TRUE	
OAK-UMN-293.fq.gz	1461081	TRUE	
OAK-UMN-294.fq.gz	1373382	TRUE	
OAK-UMN-297.fq.gz	1609005	TRUE	
OAK-UMN-302.fq.gz	2334280	TRUE	
OAK-UMN-304.fq.barcodeStripped.fq.gz	1465604	TRUE	
OAK-UMN-309.fq.gz	1065670	TRUE	
OAK-UMN-311.fq.gz	1629699	TRUE	
OAK-UMN-314.fq.gz	1515004	TRUE	
OAK-UMN-323.fq.gz	1598108	TRUE	
OAK-UMN-324.fq.gz	1724481	TRUE	
OAK-UMN-333.fq.gz	1843709	TRUE	
OAK-UMN-334.fq.gz	1954847	TRUE	
OAK-UMN-338.fq.barcodeStripped.fq.gz	1230623	TRUE	
OAK-UMN-343.fq.gz	1802187	TRUE	
OAK-UMN-346.fq.gz	1648746	TRUE	
OAK-UMN-352.fq.gz	419746	TRUE	
OAK-UMN-356.fq.gz	368908	TRUE	
OAK-UMN-357.fq.gz	530372	TRUE	
OAK-UMN-358.fq.gz	349251	TRUE	
OAK-UMN-374.fq.gz	1131241	TRUE	
OAK-UMN-378.fq.gz	543504	TRUE	
OAK-UMN-381.fq.gz	1309340	TRUE	
OAK-UMN-383.fq.gz	89697	TRUE	
OAK-UMN-385.fq.gz	415458	TRUE	
OAK-UMN-391.fq.gz	541952	TRUE	
OAK-UMN-395.fq.gz	547278	TRUE	
OAK-UMN-397.fq.barcodeStripped.fq.gz	1069279	TRUE	
OAK-UMN-399.fq.gz	200104	TRUE	
PM-101a.fq.barcodeStripped.fq.gz	1003356	TRUE	
PM-103a.fq.barcodeStripped.fq.gz	981444	TRUE	
PM-104a.fq.barcodeStripped.fq.gz	1384768	TRUE	
PM107.fq.barcodeStripped.fq.gz	3842544	TRUE	
PM-10b.fq.barcodeStripped.fq.gz	1021084	TRUE	
PM11.fq.gz	2267297	TRUE	
PM-12b.fq.barcodeStripped.fq.gz	935835	TRUE	
PM141.fq.barcodeStripped.fq.gz	882917	TRUE	
PM143.fq.barcodeStripped.fq.gz	1314160	TRUE	
PM147.fq.barcodeStripped.fq.gz	1316611	TRUE	
PM148.fq.barcodeStripped.fq.gz	1368671	TRUE	
PM150.fq.barcodeStripped.fq.gz	1535704	TRUE	
PM155.fq.barcodeStripped.fq.gz	1567220	TRUE	
PM178.fq.barcodeStripped.fq.gz	3126994	TRUE	
PM179.fq.barcodeStripped.fq.gz	2008461	TRUE	
PM190.fq.barcodeStripped.fq.gz	1436565	TRUE	
PM-19.fq.barcodeStripped.fq.gz	1204730	TRUE	
PM1.fq.gz	2386492	TRUE	
PM2.fq.gz	1668977	TRUE	
PM-3b.fq.barcodeStripped.fq.gz	1193950	TRUE	
PM-47b.fq.barcodeStripped.fq.gz	1013687	TRUE	
PM-49.fq.barcodeStripped.fq.gz	1242471	TRUE	
PM4.fq.gz	2231703	TRUE	
PM-5b.fq.barcodeStripped.fq.gz	1292525	TRUE	
PM-80b.fq.barcodeStripped.fq.gz	1551193	TRUE	
PM-93b.fq.barcodeStripped.fq.gz	1191057	TRUE	
PM96_R1.fq.gz	2559856	TRUE	
PM-98.fq.barcodeStripped.fq.gz	1278231	TRUE	
